GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
application,at.fhv.cicd.application.endpoints,AuthEndpoint,0,11,0,0,0,4,0,3,0,3
application,at.fhv.cicd.application.endpoints,HistoryEndpoint,4,3,0,0,1,1,1,1,1,1
application,at.fhv.cicd.application.endpoints,AnalysisEndpoint,0,8,0,0,0,2,0,2,0,2
application,at.fhv.cicd.application.models,User,6,17,0,0,2,7,2,3,2,3
application,at.fhv.cicd.application.models,HistoryItem,33,0,0,0,13,0,7,0,7,0
application,at.fhv.cicd.application.models,SentimentResult,0,23,0,0,0,9,0,5,0,5
application,at.fhv.cicd.application.models,History,7,8,0,0,3,2,2,1,2,1
application,at.fhv.cicd.application,Application,8,0,0,0,3,0,2,0,2,0
application,at.fhv.cicd.application.handlers,AuthHandler,16,72,2,12,3,19,2,10,1,4
application,at.fhv.cicd.application.handlers,HistoryHandler,32,22,1,5,9,7,2,5,1,3
application,at.fhv.cicd.application.handlers,AnalysisHandler,86,40,6,8,18,12,4,6,0,3
