GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
application,at.fhv.cicd.application.endpoints,AuthEndpoint,8,3,0,0,3,1,2,1,2,1
application,at.fhv.cicd.application.endpoints,HistoryEndpoint,4,3,0,0,1,1,1,1,1,1
application,at.fhv.cicd.application.endpoints,AnalysisEndpoint,5,3,0,0,1,1,1,1,1,1
application,at.fhv.cicd.application.models,User,0,23,0,0,0,9,0,5,0,5
application,at.fhv.cicd.application.models,HistoryItem,33,0,0,0,13,0,7,0,7,0
application,at.fhv.cicd.application.models,SentimentResult,23,0,0,0,9,0,5,0,5,0
application,at.fhv.cicd.application.models,History,7,8,0,0,3,2,2,1,2,1
application,at.fhv.cicd.application,Application,5,3,0,0,2,1,1,1,1,1
application,at.fhv.cicd.application.handlers,AuthHandler,0,88,1,13,0,22,1,11,0,5
application,at.fhv.cicd.application.handlers,HistoryHandler,43,11,5,1,11,5,5,2,2,2
application,at.fhv.cicd.application.handlers,AnalysisHandler,115,11,13,1,25,5,8,2,1,2
